TRGVJCD128F42623E3,-0.420759114,0.754643678,Fiona Apple,Fast As You Can,137.924
TRNXMAY128F931FAC6,-0.465329713,0.011005892,Fiona Apple,I Know,134.589
TRYMZQJ128F426A0E7,0.373325221,-0.923150666,Xzibit,Get Your Walk On,97.885
TRZHHIL128F4264EE0,0.894528341,-0.390773614,Fiona Apple,Extraordinary Machine,85.272
TRJEBIT128F933A400,-1.636899729,-0.45914527,Patty Loveless,How Can I Help You Say Goodbye,71.867
TRWBUCU128F932A3B5,0.678952182,-2.333604153,Crash Test Dummies,Just Chillin',181.809
TRFAGGM128F932A3BB,0.984579142,-0.010504292,Crash Test Dummies,Get You In The Morning,86.117
TRVKSPJ128F932A3BF,0.373325221,-0.923150666,Crash Test Dummies,Just Shoot Me_ Baby,144.219
TRUNKIT128F932A3C1,0.373325221,-0.923150666,Crash Test Dummies,A Little Something,154.239
TRUDSEY128F425AC3C,1.071901131,0.846830181,Marilyn Horne,All Through the Night,48.941
TRFBNQX128F92E3A87,0.682590598,0.754643678,Daughtry,Crashed,147.972
TRTJHHW128F92C231E,-1.040199472,-0.065816193,Daughtry,Breakdown,153.998
TROOUEH128F92E3AA0,-0.450776048,1.127999013,Daughtry,All These Lives,166.014
TRQGUZM128F425B7F6,1.178324805,1.183310915,The Hoosiers,Worried About Ray,80.947
TRRKNMB12903CC6B7E,1.071901131,0.846830181,Tina Arena,I Want To Know What Love Is,166.618
TRCDGGE128F42AEF0A,0.722613176,-0.038160242,Marvin Gaye,Sexual Healing,188.749
TRFXWUO128F425EAB3,1.071901131,0.846830181,Westlife,I'm Already There,127.252
TRWUIPE128F425A1A0,1.071901131,0.846830181,Westlife,I Do,73.613
TRQIXOO128F425A1A2,1.071901131,0.846830181,Westlife,You Must Have Had A Broken Heart,143.792
TRTMVJJ12903CBB678,-0.517359064,-0.012348022,Rachael Yamagata,Be Be Your Love,120.148
TRQHHJK128F92F12C2,1.070081923,1.018911652,Rachael Yamagata,1963,118.676
TRJMVBQ128F92F12C3,0.378782845,-1.516217164,Rachael Yamagata,Under My Skin,121.233
TRVFPAQ12903CBB680,-0.612685569,0.149285646,Rachael Yamagata,Even So,109.797
TRPESQP128F92F12C7,-0.147877899,-0.463140019,Rachael Yamagata,Quiet,112.984
TROYHQE128F42681F5,-0.431674363,0.095510186,Jeff Wayne,The Spirit Of Man,132.767
TRWGBXW128F425E1F4,-0.535369224,-0.747996311,Barry Manilow,Could It Be Magic,124.178
