,dzr_sng_id,MSD_sng_id,MSD_track_id,valence,arousal,artist_name,track_name,tempo
0,532171,SOSDIDR12A8C130E5D,TRGVJCD128F42623E3,-0.42075911421400003,0.75464367831,Fiona Apple,Fast As You Can,137.924
1,532216,SOPMTTO12AB0183DB9,TRNXMAY128F931FAC6,-0.46532971264600004,0.011005892169200001,Fiona Apple,I Know,134.589
2,532284,SOQCEJU12A8C13220B,TRYMZQJ128F426A0E7,0.37332522108000005,-0.9231506656209999,Xzibit,Get Your Walk On,97.885
3,532989,SOLEFHR12D021B2A57,TRZHHIL128F4264EE0,0.894528341497,-0.390773614181,Fiona Apple,Extraordinary Machine,85.272
4,533164,SOFDPOX12A8C13780D,TRJEBIT128F933A400,-1.63689972852,-0.459145270141,Patty Loveless,How Can I Help You Say Goodbye,71.867
5,533922,SOMYOSK12AB01801DC,TRWBUCU128F932A3B5,0.678952181743,-2.33360415255,Crash Test Dummies,Just Chillin',181.809
6,533924,SOSAZAT12AB01801EF,TRFAGGM128F932A3BB,0.9845791424060001,-0.010504291724200003,Crash Test Dummies,Get You In The Morning,86.117
7,533925,SOLQDBM12AB01801FE,TRVKSPJ128F932A3BF,0.37332522108000005,-0.9231506656209999,Crash Test Dummies,Just Shoot Me_ Baby,144.219
8,534001,SOWEUBM12AB0180208,TRUNKIT128F932A3C1,0.37332522108000005,-0.9231506656209999,Crash Test Dummies,A Little Something,154.239
9,534268,SODNNXL12A58A7B9BC,TRUDSEY128F425AC3C,1.0719011311700002,0.8468301807240001,Marilyn Horne,All Through the Night,48.941
10,534847,SOVMVFH12AB0184F26,TRFBNQX128F92E3A87,0.682590597943,0.75464367831,Daughtry,Crashed,147.972
11,534850,SOLIGOA12AF72A29D6,TRTJHHW128F92C231E,-1.04019947199,-0.06581619317250001,Daughtry,Breakdown,153.998
12,534853,SOJLGOI12D021989B7,TROOUEH128F92E3AA0,-0.450776047851,1.12799901309,Daughtry,All These Lives,166.014
13,535204,SOXOFZV12A8AE473FB,TRQGUZM128F425B7F6,1.1783248049700001,1.18331091453,The Hoosiers,Worried About Ray,80.947
14,536164,SOHEUAX12AB018744C,TRRKNMB12903CC6B7E,1.0719011311700002,0.8468301807240001,Tina Arena,I Want To Know What Love Is,166.618
15,536979,SOCMGQH12CF5465276,TRCDGGE128F42AEF0A,0.722613176124,-0.0381602424484,Marvin Gaye,Sexual Healing,188.749
16,538694,SOEDNXV12A8AE47B16,TRFXWUO128F425EAB3,1.0719011311700002,0.8468301807240001,Westlife,I'm Already There,127.252
17,538700,SORGOLY12AB017BA3B,TRWUIPE128F425A1A0,1.0719011311700002,0.8468301807240001,Westlife,I Do,73.613
18,539979,SOQCZDT12A8AE48E09,TRQIXOO128F425A1A2,1.0719011311700002,0.8468301807240001,Westlife,You Must Have Had A Broken Heart,143.792
19,540944,SORKPAQ12AB018391F,TRTMVJJ12903CBB678,-0.517359064281,-0.012348021772499999,Rachael Yamagata,Be Be Your Love,120.148
20,540954,SOQVACM12AF72A48D9,TRQHHJK128F92F12C2,1.07008192307,1.0189116518999999,Rachael Yamagata,1963,118.676
21,540956,SOWPWJG12A8C13EB6A,TRJMVBQ128F92F12C3,0.378782845378,-1.5162171644799998,Rachael Yamagata,Under My Skin,121.233
22,540960,SONDASY12A8C13EB6D,TRVFPAQ12903CBB680,-0.61268556868,0.14928564579,Rachael Yamagata,Even So,109.797
23,540967,SOYXRAL12AF729EFC9,TRPESQP128F92F12C7,-0.14787789933599998,-0.463140018576,Rachael Yamagata,Quiet,112.984
24,541416,SOHEZUJ12A8C13094D,TROYHQE128F42681F5,-0.431674362809,0.0955101860516,Jeff Wayne,The Spirit Of Man,132.767
25,541830,SOBRQFE12A8AE486DF,TRWGBXW128F425E1F4,-0.535369224463,-0.747996311035,Barry Manilow,Could It Be Magic,124.178
26,541864,SOBWYSF12A58A7DC01,TRUUBST128F426F895,-1.00472491405,0.869876806328,Chevelle,Comfortable Liar,177.965
27,541867,SOYZGMB12A8AE487F1,TRZCSSL128F426F89C,-1.7087584484399998,1.7179926285299998,Chevelle,The Red,140.033
28,541869,SOBTITR12A8C135C38,TRBGHDW128F426F8A1,-1.43587723356,1.63963410148,Chevelle,Don't Fake This,98.362
29,541870,SOIUXEF12A8AE479A3,TRYPYAE128F426F8A4,-1.70057201199,1.84244440679,Chevelle,Forfeit,151.166
30,541873,SOMFQVL12A8AE479E0,TRIOXTZ128F425BA4B,-1.70330082414,-0.6281538578970001,Chevelle,One Lonely Visitor,88.121
31,545027,SOUBEAX12CF5465224,TRHUPMZ128F92CC01B,-0.399474379454,-0.48618664417900004,Simon & Garfunkel,The Dangling Conversation,92.699
32,545031,SOLRMFA12A58A7A41B,TREFZEI128F427FFC6,0.411528591163,-1.49931630571,Simon & Garfunkel,A Poem On The Underground Wall,56.993
33,545375,SOSUHDS12A8AE479C8,TRUQKWT128F4259996,-1.70057201199,1.84244440679,Primal Scream,Motorhead,131.754
34,545765,SOMIKXG12A8C133CE1,TRHEQKA128F4273AA0,-1.9352498567900003,-0.655809808621,Christine Perfect,I'd Rather Go Blind,79.216
35,548327,SOKGJMM12A8C140DD5,TRXPVAK128F42ACF79,1.0719011311700002,0.8468301807240001,Outlandish,Any Given Time,68.022
36,548335,SOPLPZC12A58A7A912,TRBHQMK128F42ACF82,-1.9352498567900003,-0.655809808621,Outlandish,Callin' U,90.215
37,549447,SOOMQZA12A8C13F124,TROFAQT128F42B11F3,-1.4604365429,1.17870158941,John Gorka,Where the Bottles Break,135.443
38,549449,SOMZSPS12A58A77E8D,TRVXCHJ128F42B1204,-1.04019947199,-0.06581619317250001,John Gorka,Houses in the Fields,135.184
39,550288,SONYNMM12D021B3AF3,TRFIVGV128F4266BC7,-0.716640317201,-0.636055558102,Simon & Garfunkel,The Sound Of Silence,104.376
40,550534,SOKZGJR12A8C13FB37,TRLMOCZ128F42BCE6D,1.5412568207600001,1.70416465317,The View,Skag Trendy,150.336
41,550535,SOHNFIS12A8C13FB39,TRMIUHZ128F42BCE6F,1.1783248049700001,1.18331091453,The View,The Don,117.373
42,550541,SOPKUKO12AF729FEDF,TROPSKY128F42BCE79,0.37332522108000005,-0.9231506656209999,The View,Street Lights,130.949
43,550542,SOGOFFL12A8C142D86,TRQHOMZ128F42BCE7A,0.815392789182,0.662457175897,The View,Wasteland,90.534
44,550609,SOIMEQS12A8AE485C0,TRIZGVJ128F425A11C,0.815392789182,0.662457175897,Manic Street Preachers,Underdogs,147.129
45,550953,SOWFQCC12D021B1FE1,TRRCXFL128F42BCE98,1.1783248049700001,1.18331091453,Hellogoodbye,All Time Lows,167.006
46,550955,SOMMHAJ12A58A7B260,TRQDXTA128F42BCE99,0.815392789182,0.662457175897,Hellogoodbye,Stuck To You,144.033
47,550963,SOSCIFL12A8C13FB58,TRYDMRW128F42BCEA1,0.9504689905470001,0.572575336043,Hellogoodbye,Figures A And B (Means You And Me),168.008
48,550964,SOIOPJQ12A58A78224,TRGNPKX128F42BCEA3,1.1783248049700001,1.18331091453,Hellogoodbye,I Saw It On Your Keyboard,97.006
49,550966,SONIOHY12A58A7A313,TRNZUTZ128F42BCEA5,1.1783248049700001,1.18331091453,Hellogoodbye,Touchdown Turnaround (Don't Give Up On Me),136.886
50,550968,SOBUEXY12A8C13FB59,TRXHUJS128F42BCEA7,0.592721717842,0.561052023241,Hellogoodbye,Two Weeks In Hawaii,108.487
51,552814,SOXSPQE12A8C13FB53,TRVCEGO128F42BCE94,1.07008192307,1.2985440425499999,Hellogoodbye,All Of Your Love,132.967
52,554307,SOIQNYM12AAF3B46D0,TRHMWWI128F92F5745,-0.780962317853,-0.789480237121,Crash Test Dummies,Superman's Song,83.385
